# config  n_knots  n_nodes  x  order  rel_diff
1sg  40  41  2.884032e-01  LO  6.918721e-04
1sg  40  41  3.801894e-01  LO  6.045661e-05
1sg  40  41  5.011872e-01  LO  8.793183e-03
1sg  40  41  6.606934e-01  LO  6.071594e-02
1sg  40  41  2.187762e-04  NLO  5.960726e-05
1sg  40  41  2.884032e-04  NLO  8.373835e-05
1sg  40  41  3.801894e-04  NLO  1.097297e-04
1sg  40  41  5.011872e-04  NLO  1.378597e-04
1sg  40  41  6.606934e-04  NLO  1.684820e-04
1sg  40  41  8.709636e-04  NLO  2.020280e-04
1sg  40  41  1.148154e-03  NLO  2.389941e-04
1sg  40  41  1.513561e-03  NLO  2.798978e-04
1sg  40  41  1.995262e-03  NLO  3.251802e-04
1sg  40  41  2.630268e-03  NLO  3.750177e-04
1sg  40  41  3.467369e-03  NLO  4.289915e-04
1sg  40  41  4.570882e-03  NLO  4.855495e-04
1sg  40  41  6.025596e-03  NLO  5.411876e-04
1sg  40  41  7.943282e-03  NLO  5.893027e-04
1sg  40  41  1.047129e-02  NLO  6.187469e-04
1sg  40  41  1.380384e-02  NLO  6.122964e-04
1sg  40  41  1.819701e-02  NLO  5.455967e-04
1sg  40  41  2.398833e-02  NLO  3.877073e-04
1sg  40  41  3.162278e-02  NLO  1.052051e-04
1sg  40  41  4.168694e-02  NLO  3.168595e-04
1sg  40  41  5.495409e-02  NLO  9.077423e-04
1sg  40  41  7.244360e-02  NLO  1.619399e-03
1sg  40  41  9.549926e-02  NLO  2.303543e-03
1sg  40  41  1.258925e-01  NLO  2.646438e-03
1sg  40  41  1.659587e-01  NLO  2.091241e-03
1sg  40  41  2.187762e-01  NLO  1.865280e-04
1sg  40  41  2.884032e-01  NLO  5.541656e-03
1sg  40  41  3.801894e-01  NLO  1.270751e-02
1sg  40  41  5.011872e-01  NLO  2.293706e-02
1sg  40  41  6.606934e-01  NLO  6.861436e-02
1sg  40  41  2.187762e-04  NNLO  5.161841e-04
1sg  40  41  2.884032e-04  NNLO  5.821360e-04
1sg  40  41  3.801894e-04  NNLO  6.666761e-04
1sg  40  41  5.011872e-04  NNLO  7.740084e-04
1sg  40  41  6.606934e-04  NNLO  9.074127e-04
1sg  40  41  8.709636e-04  NNLO  1.065504e-03
1sg  40  41  1.148154e-03  NNLO  1.232611e-03
1sg  40  41  1.513561e-03  NNLO  1.358177e-03
1sg  40  41  1.995262e-03  NNLO  1.329211e-03
1sg  40  41  2.630268e-03  NNLO  9.895590e-04
1sg  40  41  3.467369e-03  NNLO  3.022423e-04
1sg  40  41  4.570882e-03  NNLO  5.020616e-04
1sg  40  41  6.025596e-03  NNLO  1.135519e-03
1sg  40  41  7.943282e-03  NNLO  1.501205e-03
1sg  40  41  1.047129e-02  NNLO  1.637151e-03
1sg  40  41  1.380384e-02  NNLO  1.595399e-03
1sg  40  41  1.819701e-02  NNLO  1.398827e-03
1sg  40  41  2.398833e-02  NNLO  1.041067e-03
1sg  40  41  3.162278e-02  NNLO  4.966611e-04
1sg  40  41  4.168694e-02  NNLO  3.057551e-04
1sg  40  41  5.495409e-02  NNLO  1.327206e-03
1sg  40  41  7.244360e-02  NNLO  2.528462e-03
1sg  40  41  9.549926e-02  NNLO  3.724646e-03
1sg  40  41  1.258925e-01  NNLO  4.442168e-03
1sg  40  41  1.659587e-01  NNLO  3.702445e-03
1sg  40  41  2.187762e-01  NNLO  1.626678e-04
1sg  40  41  2.884032e-01  NNLO  1.027224e-02
1sg  40  41  3.801894e-01  NNLO  2.579529e-02
